id;nombre;email_contacto;canal_chat
1;out pace;psst fishery;painfully bah scarily
2;hose;scope and dark;rubbery hyphenation
3;pfft given;stage during off;since rudely acidly
4;aw extract;welcome;silently fray
5;er than;ick whoa;inexperienced furthermore
6;longboat veto joyfully;diver until although;roadway championship amidst
7;of underpants phew;dress bah;inside huff
8;shy decryption sentimental;wherever;although biodegrade
9;valuable interestingly fall;than vary flashy;zowie
10;until fluctuate microchip;above dredger punctual;inasmuch
11;disk;ha weatherize daintily;via
12;fluffy fortunately yuck;everlasting fooey;ouch yieldingly
13;within briskly;on unhealthy smarten;militate oof coaxingly
14;gosh;neatly;although ravioli ajar
15;whether wildly;swiftly out;yippee meanwhile onto
16;king;bandwidth oh;as snappy so
17;wide-eyed;consequently soupy;finally
18;whoa;save guide simple;oof defiantly geez
19;whoever summary;scrape formal verve;jovially
20;ample;cautious bah;pacemaker however ready
21;delightfully yuck;devise aw materialise;phew
22;jaggedly;pendant wearily yippee;consequently gee overvalue
23;jellyfish meaty though;recede cap more;finally
24;thoughtfully hastily minion;misappropriate;majestically
25;bludgeon gosh;bench avalanche;glimmer positively
26;ultimately soulful ultimately;uh-huh swordfish;qua
27;general athwart;ice-cream;red
28;as;handy tame victoriously;within pro internalize
29;wafer;inwardly;commonly at tidy
30;gradient vice what;positively coincide whether;sternly upright pupil
