id;descripcion;prioridad;estado;fecha_limite;ticket_url;postmortem_id
1;frightfully beneath victoriously;BAJA;PENDIENTE;2023-12-04;tool apropos realistic;1
2;anenst;MEDIA;COMPLETADA;2023-12-04;dual by;2
3;nor unlike;MEDIA;COMPLETADA;2023-12-04;impressive;3
4;beyond;BAJA;PENDIENTE;2023-12-04;farmer;4
5;elementary ugly;MEDIA;EN_CURSO;2023-12-04;major;5
6;up twist dispense;ALTA;EN_CURSO;2023-12-04;crazy helplessly;6
7;which;BAJA;PENDIENTE;2023-12-04;jubilantly;7
8;whoever;MEDIA;PENDIENTE;2023-12-04;phooey ugh whoever;8
9;ew sharply whack;ALTA;EN_CURSO;2023-12-04;excepting;9
10;hence hubris cruelly;MEDIA;PENDIENTE;2023-12-04;chap ouch;10
11;intently;MEDIA;EN_CURSO;2023-12-04;huge;11
12;via helpless sunny;BAJA;PENDIENTE;2023-12-04;amidst everlasting;12
13;jittery er;BAJA;DESCARTADA;2023-12-04;consequently unzip;13
14;clone unnecessarily serialize;ALTA;PENDIENTE;2023-12-03;per;14
15;hyphenation vivaciously busy;MEDIA;EN_CURSO;2023-12-04;suitcase versus except;15
16;at;ALTA;EN_CURSO;2023-12-04;till after;16
17;besides for wearily;BAJA;EN_CURSO;2023-12-04;through;17
18;unethically heartfelt easily;MEDIA;COMPLETADA;2023-12-04;intend;18
19;ouch twine times;MEDIA;COMPLETADA;2023-12-04;pro;19
20;hamburger and;BAJA;COMPLETADA;2023-12-04;whine uh-huh although;20
21;since yowza insist;BAJA;DESCARTADA;2023-12-04;between accept past;21
22;a blink or;MEDIA;EN_CURSO;2023-12-04;hm whether um;22
23;than;MEDIA;PENDIENTE;2023-12-04;anti silky meanwhile;23
24;if considerate;ALTA;PENDIENTE;2023-12-04;meanwhile accessorise;24
25;waft;BAJA;COMPLETADA;2023-12-04;sand eek;25
26;optimal;ALTA;PENDIENTE;2023-12-04;haul;26
27;obediently detective ick;MEDIA;COMPLETADA;2023-12-04;versus whether;27
28;for;MEDIA;DESCARTADA;2023-12-04;since jellyfish;28
29;absent;MEDIA;DESCARTADA;2023-12-03;complete beside;29
30;cheerful;MEDIA;EN_CURSO;2023-12-04;although;30
