id;nombre;descripcion;criticidad;entorno;repositorio_url;activo;equipo_id
1;self-reliant athwart beyond;oof ectoderm;TIER1;PRODUCCION;brightly um;false;1
2;with excluding narrate;quizzically barring phooey;TIER3;PRODUCCION;likewise;true;2
3;jump;tidy;TIER3;DESARROLLO;stay massage which;true;3
4;lender easily;insert bidet;TIER2;DESARROLLO;furthermore;true;4
5;meh than;though;TIER1;DESARROLLO;elegant;false;5
6;e-mail;drat stage certainly;TIER3;DESARROLLO;spectate finally;true;6
7;even before although;whether;TIER2;STAGING;ugh;false;7
8;huzzah rarely tough;or impure huzzah;TIER1;PRODUCCION;actually;true;8
9;meanwhile;ah;TIER3;DESARROLLO;separately;false;9
10;drat;pupil source;TIER3;PRODUCCION;huzzah;true;10
11;charming inside;per gestate;TIER1;STAGING;delightfully;true;11
12;briskly;indeed indeed;TIER3;DESARROLLO;after insignificant;false;12
13;oily;ape ack petal;TIER3;PRODUCCION;utterly though partial;false;13
14;yak;modulo decode vol;TIER1;PRODUCCION;dapper;true;14
15;enraged uh-huh dreamily;below worldly after;TIER2;PRODUCCION;usable hungrily soulful;false;15
16;orderly unexpectedly;responsibility mid;TIER3;STAGING;sarong;false;16
17;gah phooey;polite;TIER1;STAGING;innocently minion off;true;17
18;that;woefully miskey;TIER2;DESARROLLO;athwart account;true;18
19;consequently mount coarse;scrap usually mockingly;TIER1;DESARROLLO;yieldingly blah;false;19
20;lest major eek;stunt joint;TIER3;STAGING;nearly youthful lest;false;20
21;stiff;failing storyboard task;TIER2;STAGING;dislocate that;true;21
22;ring;debut fair;TIER2;STAGING;hm;false;22
23;glittering;finally about;TIER1;DESARROLLO;bah;false;23
24;worriedly;bravely mmm happy;TIER1;DESARROLLO;vice past until;false;24
25;slowly after sweet;regarding robust as;TIER1;DESARROLLO;interestingly duh pish;false;25
26;dependent before;sticky enchanting;TIER2;DESARROLLO;for present;true;26
27;consistency behind putrefy;the;TIER3;DESARROLLO;measly unto both;false;27
28;jealously;fork including haversack;TIER3;PRODUCCION;smoggy duh;false;28
29;reassuringly absent funny;hmph shinny reorganisation;TIER1;DESARROLLO;into out gee;true;29
30;so;before ouch incidentally;TIER2;DESARROLLO;proselytise pillow meaningfully;true;30
