id;titulo;resumen;causa_raiz;linea_de_tiempo;lecciones_aprendidas;publicado;publicado_en;incidente_id
1;alongside;materialise circa stale;courageous well;oof;minty;true;2023-12-04T09:39:36;1
2;barring king;round whether ultimately;healthily;or yet vol;over metal proceed;true;2023-12-04T06:04:40;2
3;fabricate;opposite pepper;writ;adventurously;gurn gee hard-to-find;false;2023-12-04T02:01:40;3
4;bah amongst;propound meanwhile;so;crossly westernize;whine whereas insert;true;2023-12-04T15:58:08;4
5;of phooey colorize;thankfully beard;yet;justly;maul after;true;2023-12-04T21:20:22;5
6;cinema tame;metabolise;painfully yippee;until;dredger;true;2023-12-04T14:37:55;6
7;deed astride since;regulate seldom;scented unblinking;pure;platter;true;2023-12-04T04:42:43;7
8;whether retrospectivity ugh;frizzy;idolized inborn;meh;fiercely providence;true;2023-12-04T12:08:13;8
9;gray now;plus pointless yowza;between apud;qua as;whose educated out;true;2023-12-04T02:25:02;9
10;excluding;unlike;bitterly spectate mystify;fund up;yet about respray;true;2023-12-04T15:57:56;10
11;boohoo yet yuck;concrete now;zowie like;geez what piglet;unnecessarily bloom pliers;false;2023-12-04T02:24:06;11
12;once since supposing;faithfully hm;phooey;boohoo worth;likewise;true;2023-12-04T15:33:54;12
13;foot;woot;splay mismatch damaged;phooey so;unwritten;true;2023-12-03T23:07:16;13
14;boohoo other duh;gee;progress access;taxicab flawless;if cleave;false;2023-12-04T03:42:01;14
15;on;neaten nucleotidase;weary;academics throughout;since;false;2023-12-04T14:10:44;15
16;which;hungrily;huff huzzah ramp;fireplace skeletal;repeat nor made-up;true;2023-12-04T01:44:57;16
17;reasoning;whenever blaring;slide;flickering;fooey;true;2023-12-04T17:45:51;17
18;trash;scheme;shout velvety inasmuch;atop insidious past;despite gee;false;2023-12-04T16:14:30;18
19;honestly failing avow;beneath twin subtract;once plus which;as warmly;sashay cautious qua;true;2023-12-04T13:07:17;19
20;along testify;potentially except;biodegradable;supposing obnoxiously;uniform step-mother;true;2023-12-04T09:54:18;20
21;foodstuffs curly soon;for reclassify excluding;though;besides negligible;though after;false;2023-12-04T03:04:50;21
22;an er meanwhile;while;curiously;smooth drat;yak plain;false;2023-12-04T12:04:51;22
23;quarrelsomely concerning like;wise;aha underneath;tomorrow boastfully agreeable;intend through along;false;2023-12-04T09:36:44;23
24;likewise;when;necklace sudden before;pace lieu unnecessarily;far;true;2023-12-04T13:05:02;24
25;beneath brook;meh information huge;fatherly step-mother into;gracious searchingly;usefully;true;2023-12-03T23:48:10;25
26;gah;quarterly valiantly;circa;unfit hm sans;sesame extremely sun;true;2023-12-04T16:12:56;26
27;bleak reporter frantically;colligate;agreeable tough bah;wearily oh blah;and;false;2023-12-04T03:58:50;27
28;configuration;lyre;against joyfully;productive airbus prioritize;viciously huzzah;false;2023-12-04T18:15:16;28
29;hence;above;whoever shirk backburn;what;sew whenever;false;2023-12-04T15:50:08;29
30;intensely aha wilted;but tattered exonerate;meh elevation vivaciously;provided silently;apropos fluff graft;true;2023-12-04T19:33:54;30
